food,calories,protein,fat,carbs,sugar,fiber,cholesterol,cost
cream cheese,51.0,0.9,5.0,0.8,0.5,0.0,14.6,10
neufchatel cheese,215.0,7.8,19.4,3.1,2.7,0.0,62.9,37
requeijao cremoso light catupiry,49.0,0.8,3.6,0.9,3.4,0.1,0.0,10
ricotta cheese,30.0,1.5,2.0,1.5,0.091,0.0,9.8,10
cream cheese low fat,30.0,1.2,2.3,1.2,0.9,0.0,8.1,10
cream cheese fat free,19.0,2.8,0.2,1.4,1.0,0.0,2.2,10
gruyere cheese,116.0,8.3,9.1,0.1,0.1,0.0,30.8,27
cheddar cheese,113.0,6.4,9.3,0.9,0.1,0.0,27.7,24
parmesan cheese,71.0,6.4,4.5,0.6,0.046,0.0,12.2,19
romano cheese,19.0,1.6,1.3,0.2,0.088,0.0,5.2,10
parmesan cheese grated,21.0,1.4,1.4,0.7,0.075,0.0,4.3,10
port salut cheese,465.0,31.4,37.2,0.8,0.8,0.0,162.4,105
swiss cheese,98.0,6.7,7.7,0.4,0.0,0.0,23.3,23
goat cheese hard,128.0,8.6,10.1,0.6,0.6,0.0,29.7,29
gouda cheese,100.0,7.0,7.7,0.6,0.6,0.0,31.9,23
pepper jack cheese lucerne,75.0,5.0,6.0,0.0,0.0,2.5,0.0,17
caraway cheese,106.0,7.1,8.3,0.9,0.0,0.0,26.3,24
gjetost cheese,1058.0,21.9,67.0,96.8,0.0,0.0,213.4,150
tilsit cheese,136.0,9.8,10.4,0.8,0.0,0.0,40.8,32
goat cheese,103.0,6.1,8.4,0.009,0.031,0.0,22.4,22
brick cheese,111.0,7.0,8.9,0.8,0.2,0.0,28.2,25
asadero cheese,402.0,25.5,31.9,3.2,3.2,0.0,118.7,88
camembert cheese,90.0,5.9,7.3,0.1,0.1,0.0,21.6,20
provolone cheese reduced fat,310.0,27.9,19.9,4.0,0.6,0.0,62.2,83
roquefort cheese,314.0,18.3,26.0,1.7,0.0,0.0,76.5,66
queso blanco cheese,366.0,24.0,28.7,3.0,2.1,0.0,82.6,82
queso seco cheese,315.0,23.8,23.6,2.0,0.5,0.0,75.7,76
goat cheese soft,75.0,5.2,6.0,0.0,0.3,0.0,13.0,18
mozzarella cheese,90.0,6.7,6.6,0.7,0.0,0.0,23.7,22
chihuahua cheese,494.0,28.5,39.2,7.3,7.3,0.0,138.6,103
limburger cheese,98.0,6.0,8.2,0.1,0.1,0.0,27.0,22
muenster cheese,486.0,30.9,39.7,1.5,1.5,0.0,126.7,107
queso fresco cheese,365.0,22.1,29.1,3.6,2.8,0.0,84.2,78
brie cheese,100.0,6.2,8.3,0.1,0.1,0.0,30.0,22
pimento cheese,525.0,31.0,43.7,2.4,0.9,0.1,131.6,111
mexican cheese,316.0,27.7,21.7,3.8,0.6,0.0,69.4,83
feta cheese,80.0,4.3,6.4,1.2,0.0,0.0,26.7,17
mozzarella cheese fat free,159.0,35.8,0.0,4.0,1.7,2.0,20.3,81
provolone cheese,463.0,33.8,35.1,2.8,0.7,0.0,91.1,109
anejo cheese,492.0,28.3,39.6,6.1,6.1,0.0,138.6,103
honey,64.0,0.08,0.0,17.3,17.2,0.025,0.0,10
apple butter,35.0,0.045,0.063,8.5,7.1,0.3,0.0,10
fruit jam,56.0,0.0,0.095,13.8,9.7,0.2,0.0,10
chocolate hazelnut spread,100.0,1.0,5.5,11.5,10.0,1.0,0.0,13
peanut butter,88.0,3.3,7.4,3.6,1.0,0.9,0.0,16
peanut spread,101.0,3.8,8.5,2.2,0.5,1.2,0.0,18
chicken spread,88.0,10.1,9.8,2.3,0.3,0.2,31.4,30
cheese spread,708.0,17.0,68.6,8.4,8.4,0.0,216.0,106
tahini,86.0,2.7,7.2,3.9,0.0,1.4,0.0,15
orange marmalade,49.0,0.014,0.0,13.3,12.0,0.1,0.0,10
american cheese spread,46.0,2.6,3.4,1.4,1.2,0.0,8.8,10
apricot jam,48.0,0.1,0.01,12.9,8.7,0.044,0.0,10
chunky peanut butter,94.0,3.8,8.0,3.5,1.3,1.3,0.0,17
ham and cheese spread,37.0,2.4,2.8,0.3,0.0,0.0,9.2,10
chicken and rice casserole homade,27.0,2.0,1.0,2.4,0.0,0.3,0.0,10
picnic loaf,65.0,4.2,4.7,1.3,0.0,0.0,10.6,15
corn tamale,309.0,5.8,12.0,44.3,12.3,5.3,0.0,42
baked potato with cheese sauce bacon,451.0,18.4,25.9,44.4,0.0,0.0,29.9,82
chinese egg roll,223.0,7.4,10.6,24.3,0.0,2.3,14.2,37
butter croissant,231.0,4.7,12.0,26.1,6.4,1.5,38.2,33
enchilada with cheese beef,323.0,11.9,17.6,30.5,0.0,0.0,40.3,55
corned beef hash with potatoes,387.0,20.6,24.2,21.9,0.8,2.6,75.5,78
biscuit with egg cheese bacon,436.0,17.4,25.3,35.4,2.5,0.3,240.7,77
bagel with ham egg cheese,483.0,26.7,18.5,52.4,7.0,0.4,242.6,98
quesadilla with chicken,529.0,27.1,27.5,43.3,3.4,3.1,66.6,104
corn rice,110.0,1.8,0.3,25.2,3.0,0.4,0.0,15
kung pao chicken,779.0,59.0,42.2,41.5,18.3,9.1,157.0,150
beef empanada,298.0,10.1,16.3,27.8,1.6,1.8,23.1,49
frijoles with cheese,225.0,11.4,7.8,28.7,0.0,0.0,36.7,44
burrito with beef,285.0,9.1,8.1,43.9,4.1,4.4,2.6,46
crispy chicken sandwich,350.0,14.8,17.6,33.2,3.9,0.0,0.0,63
enchilada with cheese,374.0,15.4,25.3,21.2,3.6,2.6,57.5,67
pork egg roll,189.0,8.4,6.1,25.1,4.5,1.8,11.9,35
corn on the cob with butter,155.0,4.5,3.4,31.9,0.0,0.0,5.8,25
pancakes with butter syrup,260.0,4.1,7.0,45.4,0.0,0.0,29.0,34
burrito with beans,224.0,7.0,6.7,35.7,0.0,0.0,2.2,36
scrambled eggs,100.0,6.5,7.6,1.0,0.8,0.0,200.2,22
baked potato with sour cream,393.0,6.7,22.3,50.0,0.0,0.0,24.2,55
turkey and gravy,161.0,14.1,6.3,11.1,0.0,0.0,43.2,42
chicken egg roll,158.0,8.4,3.6,22.8,4.5,1.9,11.2,32
vegetable egg roll,153.0,5.2,3.6,25.0,5.3,2.2,0.0,25
ham cheese roll,67.0,3.8,5.2,1.1,0.0,0.0,16.2,14
biscuit with ham,386.0,13.4,18.4,43.8,2.2,0.8,24.9,65
lemon chicken,1440.0,68.6,74.9,122.0,55.2,7.0,203.8,150
hummus,435.0,12.0,21.1,49.5,0.7,9.8,0.0,67
croissant with egg cheese,368.0,12.8,24.7,24.3,0.0,0.0,215.9,62
enchirito with cheese beef beans,344.0,17.9,16.1,33.8,0.0,0.0,50.2,68
sweet sour pork,38.0,1.2,2.2,3.3,1.4,0.1,3.4,10
crab cake,160.0,11.3,10.4,5.1,0.0,0.2,82.2,37
egg dinner roll,107.0,3.3,2.2,18.2,1.5,1.3,17.5,17
english muffin with egg cheese sausage,472.0,22.1,29.9,28.8,2.5,0.3,269.0,89
buttermilk pancakes,86.0,2.6,3.5,10.9,0.0,0.0,22.0,14
omelet,94.0,6.4,7.1,0.4,0.2,0.0,190.9,22
taco with chicken cheese lettuce,185.0,13.0,6.2,19.3,1.3,1.2,28.4,43
spinach souffle,230.0,10.7,17.6,8.0,2.5,1.0,160.5,44
english muffin with cheese sausage,365.0,14.3,22.3,27.3,2.1,0.5,46.4,64
potato gratin,328.0,12.4,18.6,27.6,0.0,4.4,56.4,57
biscuit with egg,436.0,17.4,25.3,35.4,2.5,0.3,240.7,77
french fries deep fried,222.0,2.4,10.5,29.4,0.2,2.7,0.0,28
sweet sour chicken,46.0,1.8,2.3,4.4,2.1,0.2,4.9,10
burrito with beans beef,460.0,27.8,18.0,47.0,5.3,7.2,62.7,97
nachos with cinnamon sugar,592.0,7.2,36.0,63.4,0.0,0.0,39.2,75
arroz con grandules,209.0,4.0,5.7,35.4,0.0,1.6,0.0,29
chili con carne,271.0,14.7,8.8,33.1,4.7,8.3,22.8,54
arroz con abichuelas,223.0,6.2,5.4,37.3,0.2,4.1,0.0,34
biscuit with sausage,412.0,10.7,27.1,33.3,1.8,0.4,31.1,63
vegetarian stew,304.0,42.0,7.4,17.3,3.1,2.7,0.0,107
chicken sandwich with cheese,632.0,29.4,38.8,41.6,0.0,0.0,77.5,119
biscuit with egg steak,410.0,17.9,28.4,21.3,0.0,0.0,272.3,75
taco salad,212.0,10.0,11.2,17.9,0.0,0.0,33.0,40
succotash,213.0,9.7,1.5,46.8,0.0,0.0,0.0,41
nachos with cheese jalapeno peppers,608.0,16.8,34.1,60.1,0.0,0.0,83.6,94
biscuit with egg ham,442.0,20.4,27.0,31.4,4.2,0.8,299.5,83
ladyfingers,103.0,3.0,2.6,16.9,7.2,0.3,62.5,16
mozzarella steak fried,102.0,4.6,5.9,7.7,0.7,0.6,10.2,19
tamale navajo,285.0,11.7,11.4,33.7,1.8,5.8,31.6,51
blueberry pancakes,84.0,2.3,3.5,11.0,0.0,0.0,21.3,13
chimichanga with beef cheese,443.0,20.1,23.4,39.3,0.0,0.0,51.2,82
egg cheese sandwich,340.0,15.6,19.4,25.9,0.0,0.0,290.5,64
biscuit with egg bacon,458.0,17.0,31.1,28.6,3.3,0.8,352.5,79
pupusas con queso,300.0,13.7,15.5,26.2,1.4,3.4,37.4,56
apple croissant,145.0,4.2,5.0,21.1,0.0,1.4,17.7,23
refried red beans,336.0,11.7,16.1,36.0,0.0,11.0,0.0,56
tostada with guacamole,180.0,6.2,11.6,16.0,0.0,0.0,19.6,31
chicken sandwich,468.0,30.4,20.9,39.1,6.8,2.6,65.5,103
fried rice,228.0,6.5,3.2,43.4,0.6,1.5,32.2,35
pupusas del cerdo,283.0,14.0,12.7,28.1,1.8,3.2,35.4,55
turkey pot pie,699.0,25.8,34.9,70.3,0.0,4.4,63.5,119
cheese croissant,331.0,7.4,16.7,37.6,9.1,2.1,45.6,48
chimichanga with beef,425.0,19.6,19.7,42.8,0.0,0.0,8.7,79
french toast with butter,178.0,5.2,9.4,18.0,0.0,0.0,58.1,28
ham egg cheese sandwich,347.0,19.2,16.3,30.9,0.0,0.0,246.0,71
english muffin with butter,189.0,4.9,5.8,30.4,0.0,0.0,12.6,29
savoury noodle one pan dinner tandaco,172.0,0.0,1.2,5.5,0.0,0.0,0.0,11
ham cheese sandwich,352.0,20.7,15.5,33.3,0.0,0.0,58.4,74
sweet gefilte fish,35.0,3.8,0.7,3.1,0.0,0.0,12.6,11
poached egg,72.0,6.3,4.7,0.4,0.2,0.0,185.0,19
tostada with beef cheese,315.0,19.0,16.3,22.8,0.0,0.0,40.8,67
tostada with beans cheese,223.0,9.6,9.9,26.5,0.0,0.0,30.2,41
pork tamale,247.0,10.4,12.8,22.4,0.7,3.4,28.4,45
nachos with cheese,274.0,3.5,17.2,27.9,1.7,2.6,2.4,35
pulled pork in barbecue sauce,418.0,32.8,11.0,46.7,37.8,3.0,87.2,102
baked potato with cheese sauce,474.0,14.6,28.7,46.5,0.0,0.0,17.8,77
baked beans,310.0,11.1,10.3,43.3,0.0,11.0,10.0,52
arroz con frijoles,220.0,6.8,5.6,35.6,1.3,5.0,0.0,35
taco with beef cheese lettuce,156.0,6.1,8.8,13.7,0.6,2.7,19.3,28
burrito with beans cheese beef,165.0,7.3,6.6,19.8,0.0,0.0,61.9,31
egg mix,30.0,2.4,2.2,0.098,0.091,0.0,81.5,10
falafel,57.0,2.3,3.0,5.4,0.0,0.0,0.0,11
taco salad with chili con carne,193.0,11.6,8.8,17.7,0.0,0.0,3.5,41
wonton wrappers,93.0,3.1,0.5,18.5,0.0,0.6,2.9,15
hushpuppies,512.0,11.7,20.5,69.9,3.1,4.3,68.4,74
chicken pot pie,598.0,14.6,34.6,57.3,7.2,3.0,51.3,88
general tsos chicken,1578.0,69.0,87.5,128.3,62.1,4.8,283.6,150
burrito with beans cheese,379.0,13.6,11.2,57.8,3.2,7.8,9.3,64
vegetarian fillets,247.0,19.6,15.3,7.7,0.7,5.2,0.0,61
biscuit with egg sausage,505.0,18.0,33.6,34.1,1.5,0.3,260.8,85
chicken chow mein,513.0,40.8,16.9,50.1,10.5,6.0,96.6,126
fruit burrito,231.0,2.5,9.5,35.0,0.0,0.0,3.7,29
arroz con leche,369.0,8.1,9.3,63.0,38.6,1.3,20.2,52
caramel custard flan,444.0,13.9,12.3,69.7,70.8,0.0,275.4,71
gelatin dessert,167.0,3.3,0.0,38.3,36.4,0.0,0.0,23
chocolate milk dessert,229.0,5.9,1.4,51.6,51.6,0.0,0.0,35
chocolate mousse,338.0,6.2,24.0,24.1,22.2,0.9,210.0,47
dulce de leche,60.0,1.3,1.4,10.5,9.5,0.0,5.5,10
apple crisp,454.0,4.9,9.7,87.0,55.5,3.9,0.0,55
spinach spaghetti cooked,182.0,6.4,0.9,36.6,0.0,0.0,0.0,30
corn pasta cooked,176.0,3.7,1.0,39.1,0.0,6.7,0.0,25
spaghetti with meat sauce,255.0,14.3,2.9,43.1,7.4,5.1,17.0,52
pasta with meatballs in tomato sauce,273.0,10.6,13.0,28.3,7.2,6.9,23.0,48
cheese tortellini,332.0,14.6,7.8,50.8,1.0,2.1,45.4,60
pasta with sliced franks in tomato sauce,227.0,11.0,6.0,32.0,8.0,4.0,22.7,43
lasagna,166.0,9.0,6.1,18.9,3.8,2.1,20.9,34
macaroni cheese,310.0,12.6,9.4,43.7,3.0,2.3,15.1,55
vegetable lasagna,316.0,15.6,13.7,32.2,5.8,4.3,31.8,61
